0,redis-1-12,redis-1-12,1
1,redis-1-12,redis-1-12,2
2,redis-1-20,redis-1-20,2
3,redis-1-12,redis-1-12,1
4,redis-1-17,redis-1-17,1
5,redis-1-17,redis-1-17,1
6,redis-1-17,redis-1-17,1
7,redis-1-17,redis-1-17,1
8,redis-1-17,redis-1-17,1
9,redis-1-17,redis-1-17,1
10,redis-1-17,redis-1-17,1
11,redis-1-17,redis-1-17,1
12,redis-1-17,redis-1-17,1
13,redis-1-17,redis-1-17,1
14,redis-1-17,redis-1-17,1
15,redis-1-17,redis-1-17,1
16,redis-1-3,redis-1-3,2
17,redis-1-3,redis-1-3,2
18,redis-1-3,redis-1-3,2,redis-1-14,1
19,redis-1-3,redis-1-3,2,redis-1-14,1
20,redis-1-3,redis-1-3,2,redis-1-14,1
21,redis-1-3,redis-1-3,2,redis-1-14,1
22,redis-1-3,redis-1-3,2
23,redis-1-3,redis-1-3,2
24,redis-1-3,redis-1-3,2
25,redis-1-3,redis-1-3,2
26,redis-1-3,redis-1-3,2
27,redis-1-3,redis-1-3,2,redis-1-14,1
28,redis-1-3,redis-1-3,2,redis-1-14,1
29,redis-1-3,redis-1-3,2,redis-1-14,1
30,redis-1-3,redis-1-3,2,redis-1-14,1
31,redis-1-3,redis-1-3,2,redis-1-14,1
32,redis-1-3,redis-1-3,2,redis-1-14,1
33,redis-1-3,redis-1-3,2,redis-1-14,1
34,redis-1-3,redis-1-3,2,redis-1-14,1
35,redis-1-3,redis-1-3,2,redis-1-14,1
36,redis-1-3,redis-1-3,2,redis-1-14,1
37,redis-1-3,redis-1-3,2,redis-1-14,1
38,,redis-1-3,2,redis-1-14,2
39,redis-1-14,redis-1-14,4,redis-1-3,1
40,redis-1-14,redis-1-14,4,redis-1-3,3
41,redis-1-14,redis-1-14,4,redis-1-10,1,redis-1-9,1,redis-1-3,1
42,redis-1-14,redis-1-14,4,redis-1-3,2
43,redis-1-14,redis-1-14,4,redis-1-3,3
44,redis-1-14,redis-1-14,4,redis-1-3,3
45,,redis-1-14,4,redis-1-3,4
46,redis-1-14,redis-1-14,9
47,redis-1-14,redis-1-14,10,redis-1-3,2
48,redis-1-14,redis-1-14,7,redis-1-3,2
49,,redis-1-14,4,redis-1-3,4
50,redis-1-14,redis-1-14,5,redis-1-3,4
51,,redis-1-14,4,redis-1-3,4
52,,redis-1-14,4,redis-1-3,4
53,,redis-1-14,4,redis-1-3,4
54,,redis-1-14,4,redis-1-3,4
55,redis-1-14,redis-1-14,5,redis-1-3,4
56,,redis-1-14,4,redis-1-3,4
57,,redis-1-14,4,redis-1-3,4
58,,redis-1-14,4,redis-1-3,4
59,,redis-1-14,4,redis-1-3,4
